customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000020,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),100.24,7212.15,Yes
CUST_000021,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.09,1806.19,Yes
CUST_000022,Male,0,No,No,14,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,62.07,861.21,No
CUST_000023,Female,0,No,No,53,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.02,5426.52,No
CUST_000024,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,8682.48,No
CUST_000025,Female,0,Yes,Yes,72,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.47,5065.92,Yes
CUST_000026,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,108.43,3900.09,Yes
CUST_000027,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,94.42,683.51,Yes
CUST_000028,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),82.8,45.21,Yes
CUST_000029,Female,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),120.0,569.53,Yes
CUST_000030,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.03,7743.19,Yes
CUST_000031,Male,0,No,No,19,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.56,1490.58,Yes
CUST_000032,Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),51.63,3158.14,Yes
CUST_000033,Female,0,No,No,20,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),96.31,1947.66,No
CUST_000034,Female,0,Yes,No,34,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),85.8,2961.55,No
CUST_000035,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.77,0.0,Yes
CUST_000036,Male,0,Yes,No,9,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),78.73,725.85,No
CUST_000037,Female,0,Yes,Yes,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.27,1812.35,Yes
CUST_000038,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.12,3430.17,No
CUST_000039,Male,0,No,No,6,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),81.03,521.68,Yes
CUST_000040,Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),89.12,4101.54,Yes
CUST_000041,Male,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,53.05,774.51,No
CUST_000042,Male,0,No,No,54,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.34,5267.32,No
CUST_000043,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),109.64,342.59,Yes
CUST_000044,Female,0,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,692.09,No
CUST_000045,Female,1,No,No,11,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,92.04,1007.94,Yes
CUST_000046,Female,0,Yes,No,50,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,77.24,3824.17,No
CUST_000047,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),88.23,1398.05,Yes
CUST_000048,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.67,1388.49,Yes
CUST_000049,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),83.66,5986.24,No
CUST_000050,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.68,79.41,No
CUST_000051,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,106.57,142.29,Yes
CUST_000052,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.2,5020.03,Yes
CUST_000053,Male,0,No,No,33,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),92.03,3038.23,No
CUST_000054,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,100.98,1123.21,Yes
CUST_000055,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,88.11,1828.28,Yes
CUST_000056,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,50.99,94.3,Yes
CUST_000057,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,37.07,175.52,No
CUST_000058,Male,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.79,849.98,Yes
CUST_000059,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,104.05,5920.4,No
CUST_000060,Male,0,No,No,20,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,72.92,1485.96,No
CUST_000061,Male,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),106.71,2985.17,Yes
CUST_000062,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,115.93,7687.16,No
CUST_000063,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.59,1073.91,No
CUST_000064,Male,0,Yes,Yes,38,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.46,3101.23,Yes
CUST_000065,Male,0,Yes,No,63,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.27,5850.73,No
CUST_000066,Female,0,No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.0,625.32,No
CUST_000067,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,109.67,1519.49,Yes
CUST_000068,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),83.74,6003.59,No
CUST_000069,Female,0,No,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.0,1307.68,No
CUST_000070,Female,1,No,No,8,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,83.39,618.45,No
CUST_000071,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.41,97.28,Yes
CUST_000072,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.36,442.89,No
CUST_000073,Male,1,Yes,No,16,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.87,1373.14,No
CUST_000074,Female,1,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),52.29,898.75,No
CUST_000075,Male,1,No,No,30,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),59.63,1811.65,No
CUST_000076,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),115.97,8336.05,No
CUST_000077,Female,0,No,Yes,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.15,297.8,No
CUST_000078,Female,0,No,Yes,60,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,72.11,4371.62,No
CUST_000079,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,109.27,335.18,Yes
CUST_000080,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.4,76.57,Yes
CUST_000081,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),80.03,1750.62,Yes
CUST_000082,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.64,16.4,Yes
CUST_000083,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.07,1369.42,No
CUST_000084,Female,1,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.68,6244.4,No
CUST_000085,Male,0,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.73,174.07,Yes
CUST_000086,Male,0,Yes,Yes,39,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.1,3204.24,No
CUST_000087,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),54.54,562.09,Yes
CUST_000088,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),52.1,68.38,No
CUST_000089,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),53.55,1393.79,No
CUST_000090,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),120.0,6851.5,Yes
CUST_000091,Female,1,No,Yes,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,105.53,1666.24,No
CUST_000092,Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),114.75,3466.8,No
CUST_000093,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),116.17,8362.11,No
CUST_000094,Female,0,Yes,Yes,49,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,60.81,2939.56,Yes
CUST_000095,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.68,561.02,Yes
CUST_000096,Female,0,No,No,42,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),104.9,4367.09,Yes
CUST_000097,Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),96.31,2074.76,No
CUST_000098,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),95.83,4145.14,No
CUST_000099,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,97.86,2052.18,No
CUST_000100,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.91,348.18,Yes
CUST_000101,Male,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,85.82,2318.42,No
CUST_000102,Female,0,Yes,No,21,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,82.74,1777.06,No
CUST_000103,Female,0,No,Yes,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.05,2490.63,Yes
CUST_000104,Female,0,No,No,67,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),89.83,6003.3,No
CUST_000105,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),97.08,7022.79,Yes
CUST_000106,Female,0,Yes,No,19,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,57.92,1075.9,No
CUST_000107,Female,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),93.43,1736.02,Yes
CUST_000108,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,85.09,1951.42,Yes
CUST_000109,Female,1,No,No,23,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,77.82,1826.32,No
CUST_000110,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.9,3575.29,Yes
CUST_000111,Female,0,No,Yes,33,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,74.8,2502.05,No
CUST_000112,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,111.74,1078.76,Yes
CUST_000113,Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,41.51,986.96,No
CUST_000114,Female,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),86.56,2682.21,Yes
CUST_000115,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,93.26,2973.82,No
CUST_000116,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.8,1181.14,No
CUST_000117,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,88.78,513.94,No
CUST_000118,Female,1,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,118.93,155.35,No
CUST_000119,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),74.05,996.0,No
CUST_000120,Male,0,Yes,Yes,17,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,72.33,1257.54,No
CUST_000121,Female,0,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.75,107.0,Yes
CUST_000122,Male,0,Yes,No,53,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,78.58,4151.18,No
CUST_000123,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.65,482.68,Yes
CUST_000124,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,48.17,3433.13,No
CUST_000125,Male,0,No,No,5,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,73.12,359.18,Yes
CUST_000126,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,97.83,48.54,Yes
CUST_000127,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,99.34,2058.01,No
CUST_000128,Male,1,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,51.94,348.71,No
CUST_000129,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,72.39,5163.13,No
CUST_000130,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.3,76.57,Yes
CUST_000131,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,120.0,2082.88,No
CUST_000132,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,99.42,7187.24,No
CUST_000133,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,101.23,1483.34,No
CUST_000134,Male,0,Yes,No,3,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,65.71,177.82,Yes
CUST_000135,Male,0,Yes,No,11,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,71.13,805.33,No
CUST_000136,Male,0,No,No,22,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.22,1197.88,No
CUST_000137,Male,1,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.95,263.37,Yes
CUST_000138,Male,0,No,Yes,20,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),80.28,1572.23,Yes
CUST_000139,Male,0,No,No,57,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,83.74,4760.03,Yes
CUST_000140,Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,108.58,7083.38,No
CUST_000141,Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,103.24,94.5,Yes
CUST_000142,Male,1,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,104.78,540.36,Yes
CUST_000143,Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,96.36,933.17,Yes
CUST_000144,Female,0,No,Yes,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.35,668.99,No
CUST_000145,Female,0,Yes,No,14,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),96.22,1314.38,No
CUST_000146,Male,0,Yes,No,59,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,99.86,5917.93,No
CUST_000147,Male,0,No,Yes,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,114.63,4589.41,No
CUST_000148,Male,0,No,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,70.83,205.53,Yes
CUST_000149,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,103.34,3160.59,Yes
CUST_000150,Female,1,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),37.32,128.47,Yes
CUST_000151,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,1049.03,Yes
CUST_000152,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.11,184.86,Yes
CUST_000153,Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,94.88,534.91,No
CUST_000154,Male,0,No,No,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,100.61,2986.79,No
CUST_000155,Male,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),43.42,1147.39,Yes
CUST_000156,Female,0,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),106.85,639.81,Yes
CUST_000157,Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.54,7307.6,Yes
CUST_000158,Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.14,1545.67,No
CUST_000159,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,94.85,275.72,Yes
CUST_000160,Female,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,114.42,459.21,Yes
CUST_000161,Male,0,Yes,No,28,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),66.33,1823.29,No
CUST_000162,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.02,2859.79,Yes
CUST_000163,Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,72.6,1920.23,Yes
CUST_000164,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),95.79,6930.55,No
CUST_000165,Female,0,No,No,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),94.07,1743.25,No
CUST_000166,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),90.36,1646.85,No
CUST_000167,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.1,968.98,No
CUST_000168,Male,0,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.56,816.48,Yes
CUST_000169,Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),102.39,1384.12,Yes
CUST_000170,Female,0,Yes,No,63,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,71.39,4475.18,Yes
CUST_000171,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),105.74,63.78,No
CUST_000172,Male,0,Yes,No,18,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),70.07,1253.28,No
CUST_000173,Male,0,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.99,2258.93,Yes
CUST_000174,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),109.9,3154.74,Yes
CUST_000175,Female,0,Yes,No,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.65,239.45,Yes
